Time, Latitude(DD), Longitude(DD), Latitude(m), Longitude(m), Altitude(m), Roll(deg), Pitch(deg), Yaw(deg)
1508313236.000000, 48.237825, 16.331875, 5343591.500000, 598893.375000, 252.500000, 16.560944, -29.019165, -75.009827
1508313237.000000, 48.237830, 16.331872, 5343592.000000, 598893.125000, 252.000000, 3.921741, -14.339909, -68.467957
1508313238.000000, 48.237837, 16.331862, 5343593.000000, 598892.375000, 251.500000, -8.500200, -5.254031, -61.791565
1508313239.000000, 48.237838, 16.331850, 5343593.000000, 598891.500000, 250.899994, -1.542301, -9.173325, -62.130989
1508313240.000000, 48.237842, 16.331837, 5343593.500000, 598890.500000, 250.500000, 18.621233, -17.592596, -71.784225
1508313241.000000, 48.237845, 16.331820, 5343593.500000, 598889.250000, 250.300003, -5.302683, -1.632941, -64.359489
1508313242.000000, 48.237843, 16.331820, 5343593.500000, 598889.312500, 250.899994, -4.808491, -0.027593, -62.597790
1508313243.000000, 48.237842, 16.331827, 5343593.500000, 598889.750000, 251.600006, 7.261657, -3.395908, -67.611923
1508313244.000000, 48.237843, 16.331828, 5343593.500000, 598889.875000, 252.399994, 2.422977, 1.503037, -62.795601
1508313245.000000, 48.237842, 16.331830, 5343593.500000, 598890.000000, 253.199997, -0.360914, -1.004239, -63.117290
1508313246.000000, 48.237843, 16.331825, 5343593.500000, 598889.625000, 253.000000, -0.356183, -0.989991, -63.118610
1508313247.000000, 48.237842, 16.331822, 5343593.500000, 598889.437500, 253.000000, -0.343749, -0.987580, -63.343849
1508313248.000000, 48.237843, 16.331813, 5343593.500000, 598888.812500, 252.699997, -0.353007, -1.002132, -63.124825
1508313249.000000, 48.237840, 16.331798, 5343593.000000, 598887.687500, 252.500000, -0.347983, -1.032387, -63.356953
1508313250.000000, 48.237833, 16.331785, 5343592.500000, 598886.687500, 252.399994, -0.357999, -1.009389, -63.292419
1508313251.000000, 48.237827, 16.331775, 5343591.500000, 598886.000000, 252.500000, -0.371305, -1.026055, -63.123405
1508313253.000000, 48.237822, 16.331773, 5343591.000000, 598885.875000, 252.399994, -0.348150, -1.004825, -63.145626
1508313254.000000, 48.237813, 16.331762, 5343590.000000, 598885.000000, 252.199997, -0.353822, -1.015987, -63.137341
1508313255.000000, 48.237805, 16.331758, 5343589.000000, 598884.750000, 252.100006, -0.358637, -0.996060, -63.132347
1508313256.000000, 48.237802, 16.331763, 5343588.500000, 598885.125000, 252.100006, -0.355303, -1.020408, -63.128979
1508313257.000000, 48.237800, 16.331750, 5343588.500000, 598884.187500, 252.000000, -0.370897, -1.019916, -63.328762
1508313258.000000, 48.237798, 16.331748, 5343588.500000, 598884.062500, 251.699997, -0.357264, -1.040730, -63.068882
1508313259.000000, 48.237802, 16.331753, 5343588.500000, 598884.437500, 251.699997, -0.364384, -1.064631, -63.129478
1508313260.000000, 48.237800, 16.331763, 5343588.500000, 598885.187500, 251.899994, -0.367177, -1.017998, -63.140507
1508313260.000000, 48.237797, 16.331753, 5343588.000000, 598884.437500, 252.399994, -0.356479, -1.006939, -63.125233
1508313261.000000, 48.237788, 16.331757, 5343587.500000, 598884.687500, 252.500000, -0.380684, -1.058971, -63.085331
1508313262.000000, 48.237783, 16.331748, 5343586.500000, 598884.062500, 252.300003, -0.367542, -1.043947, -63.343262
1508313263.000000, 48.237788, 16.331752, 5343587.000000, 598884.312500, 251.899994, -0.375604, -1.060305, -63.328163
1508313264.000000, 48.237787, 16.331753, 5343587.000000, 598884.437500, 252.199997, -0.320291, -1.041920, -63.099133
1508313265.000000, 48.237785, 16.331755, 5343587.000000, 598884.562500, 252.600006, -0.366859, -1.040180, -63.140015
1508313267.000000, 48.237778, 16.331760, 5343586.000000, 598884.937500, 252.699997, -0.369950, -0.978387, -63.134708
1508313268.000000, 48.237765, 16.331773, 5343584.500000, 598885.937500, 253.399994, -0.397106, -1.035161, -63.203014
1508313269.000000, 48.237757, 16.331783, 5343584.000000, 598886.750000, 254.300003, -0.378376, -1.077121, -63.110619
1508313270.000000, 48.237753, 16.331775, 5343583.500000, 598886.125000, 254.500000, -0.416934, -1.057038, -63.139828
1508313271.000000, 48.237750, 16.331780, 5343583.000000, 598886.500000, 254.699997, -0.367685, -1.050713, -63.125885
1508313272.000000, 48.237747, 16.331780, 5343582.500000, 598886.500000, 254.699997, -0.399482, -1.026334, -63.142048
1508313273.000000, 48.237748, 16.331777, 5343583.000000, 598886.250000, 254.800003, -0.371210, -1.046704, -63.112282
1508313274.000000, 48.237752, 16.331777, 5343583.000000, 598886.250000, 255.100006, -0.347419, -1.060341, -63.123425
1508313275.000000, 48.237758, 16.331770, 5343584.000000, 598885.750000, 255.300003, -0.356987, -1.071359, -63.134754
1508313276.000000, 48.237760, 16.331762, 5343584.000000, 598885.125000, 255.399994, -0.416966, -1.066685, -63.135521
1508313277.000000, 48.237763, 16.331757, 5343584.500000, 598884.750000, 255.399994, -0.393042, -1.034232, -63.160473
1508313278.000000, 48.237763, 16.331750, 5343584.500000, 598884.250000, 255.300003, -0.403444, -1.031056, -63.147717
1508313279.000000, 48.237763, 16.331748, 5343584.500000, 598884.125000, 255.300003, -0.415052, -1.030548, -63.135319
1508313280.000000, 48.237763, 16.331748, 5343584.500000, 598884.125000, 255.600006, -0.392460, -1.044863, -63.133438
1508313281.000000, 48.237760, 16.331750, 5343584.000000, 598884.250000, 255.699997, -0.386880, -1.048259, -63.404217
1508313282.000000, 48.237760, 16.331750, 5343584.000000, 598884.250000, 255.899994, -0.395430, -1.037874, -63.245083
1508313283.000000, 48.237762, 16.331752, 5343584.500000, 598884.375000, 256.000000, -0.389477, -1.038056, -63.132812
1508313284.000000, 48.237773, 16.331757, 5343585.500000, 598884.687500, 256.200012, -0.414266, -1.061748, -63.149059
1508313285.000000, 48.237772, 16.331760, 5343585.500000, 598884.937500, 256.100006, -0.409035, -1.056944, -63.162449
1508313286.000000, 48.237772, 16.331760, 5343585.500000, 598884.937500, 256.100006, -0.423705, -1.042542, -63.147743
1508313287.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.418418, -1.046036, -63.147820
1508313288.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.360511, -1.035445, -63.110607
1508313289.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.378230, -1.049450, -63.118221
1508313290.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.360808, -1.054058, -63.321434
1508313291.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.342138, -1.084886, -63.255791
1508313292.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.389783, -1.046313, -63.136124
1508313293.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.265904, -1.037142, -63.237236
1508313294.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.326727, -1.092908, -63.183296
1508313295.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.318989, -1.080043, -63.416332
1508313296.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.358200, -1.029003, -63.334324
1508313297.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.307921, -1.056531, -63.231781
1508313298.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.322322, -1.018698, -63.199047
1508313299.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.366322, -1.032270, -63.122520
1508313300.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.394900, -1.072066, -63.129631
1508313301.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.374644, -1.077649, -63.188976
1508313302.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.369113, -1.071761, -63.120514
1508313303.000000, 48.237772, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.391356, -1.071132, -63.123863
1508313304.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.418537, -1.066364, -63.162971
1508313305.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.370730, -1.091896, -63.221798
1508313306.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.370482, -1.048180, -63.337833
1508313307.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.355661, -1.048478, -63.145287
1508313308.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.347133, -1.050446, -63.187641
1508313309.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.349568, -1.053338, -63.384148
1508313310.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.398476, -1.020478, -63.177357
1508313311.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.372193, -1.079007, -63.120132
1508313312.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.340766, -1.078044, -63.127792
1508313313.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.348932, -1.065827, -63.168980
1508313314.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.364785, -1.041544, -63.386822
1508313315.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.326737, -1.028418, -63.174503
1508313316.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.342537, -1.058659, -63.191139
1508313317.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.321787, -1.033197, -63.170464
1508313318.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.387929, -1.028501, -63.327282
1508313319.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.335076, -1.048071, -63.343307
1508313320.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.351072, -1.078961, -63.233318
1508313321.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.351237, -1.065797, -63.128284
1508313322.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.353926, -1.069672, -63.234997
1508313323.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.366871, -1.084458, -63.281620
1508313324.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.348847, -1.027076, -63.121098
1508313325.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.323683, -1.058504, -63.365879
